               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070565,            0.067845,            0.062106,             0.21635,             0.38515,             0.18011,            0.099231,            0.038529,            0.026556,            0.058565,            0.070125,           0.0033194,           0.0033194
                   1,            0.050069,            0.054622,            0.042534,             0.42437,             0.41091,             0.39028,             0.19812,            0.040882,             0.02576,            0.044632,            0.040059,           0.0065869,           0.0065869
                   2,             0.04812,            0.051732,            0.025114,             0.70499,             0.62724,             0.68578,             0.41092,            0.032005,            0.025236,            0.025488,           0.0099273,           0.0097884,           0.0097884
                   3,            0.042423,            0.051273,            0.018804,             0.69066,             0.53092,             0.60274,              0.3952,            0.030855,            0.026455,              0.0415,            0.009703,            0.009703,            0.009703
                   4,            0.038172,            0.050964,             0.01443,             0.79817,             0.73653,             0.84094,              0.5908,            0.026967,            0.024848,            0.019668,            0.009703,            0.009703,            0.009703
                   5,            0.036617,            0.049584,            0.010923,             0.79457,              0.8002,             0.87704,             0.58638,            0.026707,            0.023716,            0.012643,            0.009604,            0.009604,            0.009604
                   6,            0.035228,              0.0482,           0.0090521,             0.80872,             0.84215,             0.90803,             0.61853,            0.025264,            0.023204,           0.0068531,            0.009505,            0.009505,            0.009505
                   7,            0.033862,            0.047973,           0.0087072,             0.82407,             0.85703,             0.91574,             0.64592,            0.024284,            0.023622,           0.0061927,            0.009406,            0.009406,            0.009406
                   8,            0.033549,            0.049701,           0.0093154,             0.85899,             0.84637,             0.91684,              0.6491,             0.02523,            0.023168,           0.0058961,            0.009307,            0.009307,            0.009307
                   9,            0.032582,            0.047371,           0.0081185,             0.79433,              0.8799,             0.90537,             0.64739,            0.024437,            0.023893,           0.0058811,            0.009208,            0.009208,            0.009208
                  10,            0.032084,             0.04743,           0.0069779,             0.83105,             0.84757,             0.90031,             0.66905,            0.021813,            0.022448,           0.0080422,            0.009109,            0.009109,            0.009109
