               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024995,            0.038448,           0.0024571,             0.87653,             0.88484,              0.9431,             0.74417,            0.018647,            0.020767,           0.0048274,           0.0082675,           0.0082675,           0.0082675
                  37,            0.024447,            0.039067,           0.0023818,             0.87302,             0.89376,             0.94778,             0.74266,            0.018699,            0.020826,           0.0025462,            0.008218,            0.008218,            0.008218
                  38,            0.024724,             0.03808,           0.0027945,             0.86379,             0.90848,             0.95154,             0.74677,            0.018622,            0.020632,           0.0025362,           0.0081685,           0.0081685,           0.0081685
                  39,             0.02459,            0.037689,           0.0023794,             0.86208,             0.88835,             0.94181,             0.73332,            0.018494,            0.020704,           0.0038929,            0.008119,            0.008119,            0.008119
                  40,            0.024662,            0.038967,           0.0022739,             0.91193,              0.8687,              0.9534,             0.74783,            0.018529,            0.020315,           0.0025967,           0.0080695,           0.0080695,           0.0080695
                  41,            0.023559,            0.037242,           0.0027896,             0.88715,             0.88924,              0.9501,             0.73949,            0.018913,            0.020912,           0.0032551,             0.00802,             0.00802,             0.00802
                  42,            0.024228,            0.039429,           0.0026425,             0.88262,              0.8848,             0.94535,             0.74876,            0.018249,            0.020633,           0.0029999,           0.0079705,           0.0079705,           0.0079705
                  43,            0.024495,            0.038915,           0.0022561,             0.88685,             0.90422,             0.95233,             0.75362,            0.018178,            0.020448,           0.0025096,            0.007921,            0.007921,            0.007921
                  44,            0.023651,            0.037145,           0.0020366,             0.84998,             0.89335,             0.93407,             0.74123,            0.018143,            0.020454,           0.0074167,           0.0078715,           0.0078715,           0.0078715
                  45,            0.023853,            0.038038,           0.0023081,              0.9043,             0.89039,             0.95401,             0.75601,            0.018283,            0.020886,           0.0018216,            0.007822,            0.007822,            0.007822
                  46,            0.023731,            0.037736,            0.002006,             0.87843,             0.87708,             0.94433,             0.74358,            0.018499,            0.020931,           0.0029274,           0.0077725,           0.0077725,           0.0077725
                  47,            0.024465,            0.038247,           0.0018796,              0.8583,              0.9061,             0.94392,             0.74897,            0.018227,            0.020419,            0.004809,            0.007723,            0.007723,            0.007723
                  48,              0.0231,            0.036819,           0.0018606,             0.88806,             0.91181,             0.94832,             0.75255,            0.018204,            0.020546,           0.0016707,           0.0076735,           0.0076735,           0.0076735
                  49,            0.023653,            0.038095,           0.0022128,             0.88204,             0.91644,             0.95112,             0.75547,             0.01793,            0.020289,           0.0020987,            0.007624,            0.007624,            0.007624
                  50,            0.023295,            0.037144,           0.0020505,             0.88554,             0.90526,             0.95069,             0.75757,            0.017983,            0.020611,           0.0021555,           0.0075745,           0.0075745,           0.0075745
                  51,            0.023263,            0.036879,           0.0021136,             0.89751,             0.89671,             0.95528,             0.76185,            0.017717,            0.019799,           0.0031951,            0.007525,            0.007525,            0.007525
                  52,            0.023109,            0.037002,            0.001725,             0.87561,             0.91756,             0.95518,             0.76125,            0.017828,            0.020212,           0.0023147,           0.0074755,           0.0074755,           0.0074755
                  53,            0.023175,             0.03707,           0.0017342,             0.88894,             0.88853,              0.9487,             0.75954,            0.018001,             0.02014,           0.0031036,            0.007426,            0.007426,            0.007426
                  54,            0.022777,             0.03623,           0.0017876,             0.87748,             0.91021,             0.95169,             0.75627,            0.017911,            0.020448,            0.002341,           0.0073765,           0.0073765,           0.0073765
                  55,            0.022967,            0.036498,           0.0017883,             0.87932,             0.91269,             0.95295,              0.7598,            0.017763,            0.020499,           0.0028957,            0.007327,            0.007327,            0.007327
                  56,            0.023413,            0.037002,           0.0017459,             0.89356,             0.90834,             0.95728,             0.76458,             0.01744,            0.020157,           0.0015497,           0.0072775,           0.0072775,           0.0072775
                  57,            0.022773,            0.036151,           0.0020731,             0.90572,             0.90237,              0.9564,             0.75998,            0.017677,            0.020318,           0.0012932,            0.007228,            0.007228,            0.007228
                  58,             0.02269,            0.037191,           0.0018674,             0.88021,             0.89936,             0.95136,             0.75708,            0.017646,            0.020459,           0.0029618,           0.0071785,           0.0071785,           0.0071785
                  59,            0.022653,            0.035526,           0.0016878,             0.88856,             0.91537,             0.95538,             0.76532,            0.017653,            0.020551,           0.0021579,            0.007129,            0.007129,            0.007129
                  60,            0.022757,            0.035807,           0.0021092,             0.89337,             0.91423,             0.95795,             0.76573,            0.017731,            0.020319,           0.0018362,           0.0070795,           0.0070795,           0.0070795
                  61,            0.022557,            0.035882,           0.0020447,             0.89291,              0.9158,             0.95952,             0.76557,            0.017595,            0.020615,           0.0014361,             0.00703,             0.00703,             0.00703
                  62,            0.023332,            0.036032,            0.001803,             0.89197,             0.88705,             0.95177,             0.75776,            0.017658,            0.020407,           0.0029548,           0.0069805,           0.0069805,           0.0069805
                  63,            0.023096,            0.035696,           0.0016818,             0.88276,             0.92029,             0.95566,             0.76449,            0.017553,            0.020496,           0.0017736,            0.006931,            0.006931,            0.006931
                  64,            0.022582,            0.035591,           0.0016236,             0.86686,             0.91775,             0.95253,             0.76403,            0.017642,            0.020486,           0.0029049,           0.0068815,           0.0068815,           0.0068815
                  65,            0.022289,            0.035807,           0.0016561,             0.88545,             0.89875,              0.9506,             0.75894,            0.017583,            0.020684,           0.0027314,            0.006832,            0.006832,            0.006832
                  66,            0.022198,             0.03648,           0.0015581,             0.88686,             0.90005,             0.95383,             0.76444,            0.017697,            0.020726,           0.0019665,           0.0067825,           0.0067825,           0.0067825
                  67,            0.022121,            0.034972,           0.0016798,             0.88894,             0.90655,             0.95516,             0.76541,             0.01751,            0.020456,           0.0019942,            0.006733,            0.006733,            0.006733
                  68,            0.022482,             0.03571,           0.0016703,             0.86989,             0.90337,             0.94379,             0.75291,            0.017744,            0.020626,           0.0031015,           0.0066835,           0.0066835,           0.0066835
                  69,            0.021828,            0.035068,           0.0017179,             0.88354,             0.91496,             0.95123,             0.76192,            0.017581,            0.020295,           0.0020697,            0.006634,            0.006634,            0.006634
                  70,            0.022023,            0.034987,             0.00148,             0.89019,             0.90148,             0.95056,             0.76571,            0.017582,            0.020811,           0.0029161,           0.0065845,           0.0065845,           0.0065845
                  71,             0.02199,            0.035577,           0.0015315,             0.88941,              0.9044,              0.9541,             0.76753,              0.0174,            0.020478,           0.0022832,            0.006535,            0.006535,            0.006535
                  72,            0.021851,            0.035399,           0.0014928,             0.88743,             0.91588,             0.95578,              0.7721,            0.017371,            0.020508,           0.0017035,           0.0064855,           0.0064855,           0.0064855
                  73,            0.021726,            0.034483,           0.0013534,              0.8939,             0.90472,             0.95641,             0.77083,            0.017355,            0.020005,           0.0023762,            0.006436,            0.006436,            0.006436
                  74,            0.021578,            0.034888,           0.0021067,             0.88883,             0.90533,             0.95398,             0.76675,            0.017505,            0.020369,           0.0026659,           0.0063865,           0.0063865,           0.0063865
                  75,            0.022162,            0.035176,           0.0016975,             0.90287,             0.91397,             0.95913,             0.77053,            0.017248,            0.020403,            0.001192,            0.006337,            0.006337,            0.006337
                  76,             0.02206,            0.035483,           0.0013776,             0.87299,             0.93004,             0.95151,             0.76465,            0.017345,            0.020686,           0.0012983,           0.0062875,           0.0062875,           0.0062875
                  77,            0.021723,            0.034424,           0.0013429,             0.89827,             0.89792,             0.95077,             0.76492,            0.017471,            0.020602,           0.0022604,            0.006238,            0.006238,            0.006238
                  78,            0.021825,            0.034957,           0.0017121,             0.87872,             0.91847,             0.95247,             0.76645,             0.01746,            0.020469,           0.0018738,           0.0061885,           0.0061885,           0.0061885
                  79,            0.022014,            0.035222,           0.0015649,             0.88444,             0.91639,             0.95243,             0.77041,            0.017216,            0.020437,           0.0014733,            0.006139,            0.006139,            0.006139
                  80,            0.021746,            0.034583,           0.0012167,             0.88428,             0.90603,              0.9504,             0.76856,            0.017374,            0.020642,           0.0025139,           0.0060895,           0.0060895,           0.0060895
                  81,            0.022039,            0.035301,            0.001283,             0.87826,             0.91827,             0.95043,             0.76602,            0.017392,            0.020634,           0.0020084,             0.00604,             0.00604,             0.00604
                  82,            0.021618,            0.034113,           0.0014472,             0.89229,             0.91783,             0.95791,             0.77429,            0.017287,            0.020292,           0.0013293,           0.0059905,           0.0059905,           0.0059905
                  83,            0.021078,              0.0332,           0.0014744,              0.9016,             0.91429,             0.95553,             0.77221,             0.01721,            0.020348,           0.0012096,            0.005941,            0.005941,            0.005941
                  84,            0.021127,            0.034335,           0.0012842,             0.90463,             0.91204,             0.95516,             0.77149,            0.017356,            0.020498,           0.0011258,           0.0058915,           0.0058915,           0.0058915
                  85,            0.021096,             0.03315,           0.0013692,             0.89859,             0.91311,             0.95566,             0.77402,            0.017248,            0.020409,           0.0015791,            0.005842,            0.005842,            0.005842
                  86,             0.02131,             0.03441,           0.0013715,             0.89076,               0.901,             0.95309,             0.76931,            0.017494,            0.020554,           0.0030074,           0.0057925,           0.0057925,           0.0057925
                  87,            0.021198,            0.033943,           0.0012687,             0.88969,             0.90815,             0.95142,             0.76667,            0.017467,            0.020895,           0.0020406,            0.005743,            0.005743,            0.005743
                  88,            0.021358,            0.034427,           0.0011949,             0.89045,             0.91223,              0.9525,             0.77029,             0.01738,            0.020682,           0.0019411,           0.0056935,           0.0056935,           0.0056935
                  89,            0.020914,            0.034722,            0.001229,             0.88997,             0.91266,             0.95249,             0.76852,            0.017337,             0.02065,           0.0021841,            0.005644,            0.005644,            0.005644
                  90,            0.020979,            0.033266,           0.0014162,             0.88572,             0.92484,             0.95384,             0.76938,            0.017305,            0.020698,           0.0019433,           0.0055945,           0.0055945,           0.0055945
                  91,            0.021262,            0.034384,           0.0012023,              0.8913,             0.90772,             0.95727,                0.77,            0.017213,            0.020606,           0.0022649,            0.005545,            0.005545,            0.005545
                  92,            0.020639,            0.033583,           0.0012452,             0.90374,             0.90229,             0.95481,             0.77287,            0.017406,            0.020536,           0.0019167,           0.0054955,           0.0054955,           0.0054955
                  93,            0.021108,            0.033491,           0.0012476,             0.88637,             0.91035,              0.9545,             0.77134,            0.017377,            0.020631,           0.0026921,            0.005446,            0.005446,            0.005446
                  94,            0.021188,            0.033335,             0.00206,             0.89138,             0.91542,             0.95883,             0.77369,            0.017415,            0.020335,           0.0021031,           0.0053965,           0.0053965,           0.0053965
                  95,            0.021073,            0.034274,           0.0011694,             0.88645,             0.92205,             0.95815,             0.77395,            0.017244,             0.02053,           0.0019606,            0.005347,            0.005347,            0.005347
                  96,            0.020805,            0.034002,           0.0010184,             0.88938,             0.91461,             0.95558,             0.77127,            0.017234,            0.020506,           0.0017811,           0.0052975,           0.0052975,           0.0052975
                  97,            0.020371,            0.032875,           0.0010808,             0.90726,             0.89595,             0.95823,             0.77376,            0.017313,            0.020733,           0.0014831,            0.005248,            0.005248,            0.005248
                  98,            0.020516,             0.03268,           0.0011908,             0.90197,             0.89849,             0.95535,             0.77221,            0.017257,            0.020849,            0.002258,           0.0051985,           0.0051985,           0.0051985
                  99,            0.020955,            0.032699,           0.0011578,             0.89962,             0.89798,             0.95194,             0.77061,            0.017298,            0.020664,           0.0025947,            0.005149,            0.005149,            0.005149
                 100,            0.020093,            0.032455,           0.0012059,             0.90831,              0.9076,              0.9558,             0.77532,            0.017296,            0.020467,            0.002372,           0.0050995,           0.0050995,           0.0050995
                 101,            0.020339,            0.032263,            0.001037,             0.89798,             0.91357,             0.95731,             0.77581,            0.017141,            0.020578,            0.001536,             0.00505,             0.00505,             0.00505
                 102,            0.020115,            0.032851,           0.0010633,              0.9016,             0.89713,             0.95467,              0.7728,            0.017358,            0.020824,           0.0019192,           0.0050005,           0.0050005,           0.0050005
                 103,            0.020837,            0.032313,          0.00098782,              0.8957,             0.91362,             0.95822,             0.77476,            0.017284,            0.020866,           0.0013559,            0.004951,            0.004951,            0.004951
                 104,            0.020155,            0.032751,           0.0010072,             0.90427,             0.90511,             0.95569,              0.7735,             0.01711,              0.0215,           0.0012574,           0.0049015,           0.0049015,           0.0049015
                 105,            0.020022,            0.032127,           0.0010435,             0.90275,             0.90465,             0.95272,             0.77102,            0.017169,            0.021373,           0.0017441,            0.004852,            0.004852,            0.004852
                 106,             0.02043,            0.032484,           0.0010719,             0.89202,             0.91814,             0.95683,             0.77721,            0.017039,            0.020964,           0.0016067,           0.0048025,           0.0048025,           0.0048025
